[2022-08-12 09:58:24,980] Register - Step 01: Navigate to 'Register' link
[2022-08-12 09:58:28,233] Register - Step 01: Click to Checkbox Gender
[2022-08-12 09:58:28,503] Register - Step 02: Enter to FirstName textbox with value is automation'
[2022-08-12 09:58:28,966] Register - Step 03: Enter to LastName textbox with value is FC'
[2022-08-12 09:58:29,023] Step 04: Select Day of Birthday
[2022-08-12 09:58:29,315] Step 04: Select Month of Birthday
[2022-08-12 09:58:29,603] Step 04: Select year of Birthday
[2022-08-12 09:58:29,923] Register - Step 04: Enter to emailAdress textbox with value is automationfc2454@hotmail.com
[2022-08-12 09:58:29,988] Register - Step 01: Click to Radio 
[2022-08-12 09:58:30,026] Register - Step 05: Enter to password textbox with value is 123456'
[2022-08-12 09:58:30,168] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-08-12 09:58:30,227] Register - Step 07: Click to 'Register' button
[2022-08-12 09:58:31,183] Register - Step 08: Verify register success message is displayed
[2022-08-12 09:58:31,236] Register - Step 09: Click to Logout link
[2022-08-12 09:58:32,669] Login - Step 01: Navigate to Login page
[2022-08-12 09:58:33,418] Login - Step 02: Enter to EmailAdress textbox with value is automationfc'
[2022-08-12 09:58:33,485] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-08-12 09:58:33,643] Login - Step 04: Click to 'Login' button
[2022-08-12 09:58:33,907] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-08-12 10:00:04,835] Register - Step 01: Navigate to 'Register' link
[2022-08-12 10:00:05,478] Register - Step 01: Click to Checkbox Gender
[2022-08-12 10:00:05,748] Register - Step 02: Enter to FirstName textbox with value is automation'
[2022-08-12 10:00:05,837] Register - Step 03: Enter to LastName textbox with value is FC'
[2022-08-12 10:00:05,890] Step 04: Select Day of Birthday
[2022-08-12 10:00:06,172] Step 04: Select Month of Birthday
[2022-08-12 10:00:06,440] Step 04: Select year of Birthday
[2022-08-12 10:00:06,728] Register - Step 04: Enter to emailAdress textbox with value is automationfc571@hotmail.com
[2022-08-12 10:00:06,828] Register - Step 01: Click to Radio 
[2022-08-12 10:00:06,861] Register - Step 05: Enter to password textbox with value is 123456'
[2022-08-12 10:00:06,912] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-08-12 10:00:06,969] Register - Step 07: Click to 'Register' button
[2022-08-12 10:00:07,881] Register - Step 08: Verify register success message is displayed
[2022-08-12 10:00:07,931] Register - Step 09: Click to Logout link
[2022-08-12 10:00:08,696] Login - Step 01: Navigate to Login page
[2022-08-12 10:00:09,166] Login - Step 02: Enter to EmailAdress textbox with value is automationfc571@hotmail.com
[2022-08-12 10:00:09,233] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-08-12 10:00:09,302] Login - Step 04: Click to 'Login' button
[2022-08-12 10:00:10,053] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-08-12 10:00:10,107]  -------------------------- PASSED -------------------------- 
[2022-08-12 10:00:10,116] MyAccount - Step 01: Navigate to Customer infor page
[2022-08-12 10:00:10,612] MyAccount - Step 02: Verify 'Customer infor' page is displayed 
[2022-08-12 10:00:10,663]  -------------------------- PASSED -------------------------- 
